Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
792,18,4,16,35,2,17
793,44,48,34,37,4,41
794,13,7,6,45,29,25
795,8,22,43,14,34,15
796,14,17,47,19,36,12
797,48,20,6,43,4,35
798,37,36,17,35,15,8
799,12,33,41,7,34,43
800,49,15,46,25,12,32
801,7,20,27,46,2,33
802,39,5,6,19,20,2
803,14,47,40,26,24,36
804,45,10,18,43,35,11
805,38,29,49,47,8,3
806,16,42,33,4,38,7
807,22,39,35,29,44,46
808,34,9,10,19,2,47
809,11,8,25,13,3,38
810,38,49,36,20,19,5
811,49,42,11,45,9,23
812,23,46,1,35,2,22
813,10,41,29,25,18,8
814,19,7,16,18,6,49
815,15,44,32,21,49,10
816,29,32,38,24,11,15
817,10,18,23,40,35,33
818,37,10,44,27,47,48
819,34,7,49,14,47,44
820,43,49,4,36,24,26
821,46,27,6,31,2,11
822,27,14,3,43,22,42
823,47,38,36,19,5,35
824,41,4,39,13,24,33
825,18,29,17,48,47,34
826,33,29,31,23,41,6
827,29,17,11,14,28,39
828,35,16,8,47,46,36
829,36,21,5,47,40,33
830,25,31,46,39,1,22
831,20,45,32,23,18,19
832,29,27,44,43,30,46
833,28,26,48,37,44,1
834,1,15,9,45,44,14
835,41,7,48,3,11,16
836,5,8,48,2,28,25
837,49,39,9,42,37,13
838,10,7,45,2,8,20
839,48,38,15,45,12,42
840,4,33,17,45,13,39
841,16,11,12,14,15,38
842,28,45,2,7,19,43
843,25,23,41,40,27,34
844,18,44,1,43,40,9
845,3,31,1,28,15,12
846,38,13,31,28,19,23
847,49,31,10,43,37,12
848,25,18,42,36,43,12
849,20,44,18,48,19,28
850,41,8,37,22,6,5
851,41,36,18,23,27,10
852,38,12,1,2,44,41
853,1,31,16,4,33,18
854,23,5,42,18,15,12
855,12,49,23,18,5,28
856,39,46,35,43,17,16
857,36,37,24,48,10,5
858,13,25,16,14,49,37
859,4,35,39,22,11,46
860,19,5,24,9,36,40
861,3,22,13,5,35,6
862,16,30,11,4,19,46
863,34,28,48,32,4,20
864,30,46,39,19,35,48
865,36,4,12,20,7,39
866,32,14,44,34,21,24
867,29,43,24,8,17,18
868,13,33,16,1,30,36
869,42,35,5,26,37,25
870,36,15,43,19,16,32
871,38,34,9,24,25,36
872,20,30,48,29,16,36
873,43,47,34,4,8,48
874,45,28,43,40,32,29
875,31,26,16,10,23,43
876,27,31,24,40,7,19
877,32,25,21,6,27,14
878,16,9,46,41,1,37
879,24,33,25,44,42,28
880,28,2,30,16,29,10
881,45,40,16,6,32,38
882,28,35,41,34,20,25
883,10,17,28,32,27,35
884,22,6,19,3,31,15
885,31,7,9,40,26,14
886,13,6,21,41,19,15
887,45,28,2,34,26,7
888,39,3,26,38,11,20
889,28,2,43,47,12,19
890,8,42,17,12,32,43
891,10,12,36,42,18,1
892,21,18,15,35,11,7
893,21,1,9,16,37,42
894,18,45,17,23,9,39
895,39,46,40,41,9,23
896,41,7,36,33,6,14
897,5,14,10,9,3,15
898,28,14,24,20,37,33
899,4,32,2,20,7,35
900,12,14,27,5,19,42
901,7,38,43,18,5,12
902,11,19,46,20,12,29
903,30,16,5,22,15,21
904,37,47,14,6,38,45
905,19,10,45,17,47,23
906,28,48,21,35,16,33
907,45,18,12,25,9,22
