Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
844,15,17,24,30,31,23
845,25,33,19,40,17,14
846,32,25,23,10,3,36
847,22,4,26,23,2,7
848,17,19,15,10,29,18
849,22,2,7,37,18,32
850,1,25,22,11,6,15
851,33,13,20,11,32,19
852,7,17,25,19,26,16
853,18,38,27,13,29,4
854,23,3,35,33,4,31
855,14,7,40,37,28,3
856,28,37,16,40,10,9
857,10,31,2,23,13,21
858,37,11,30,14,4,19
859,2,16,31,24,22,30
860,6,20,38,13,3,25
861,38,20,24,17,6,33
862,11,5,10,36,2,16
863,25,32,38,2,16,18
864,3,10,38,34,20,35
865,15,8,10,36,16,31
866,38,24,6,22,4,30
867,6,11,20,24,14,15
868,31,9,14,18,4,38
869,20,2,32,31,38,10
870,4,18,25,16,40,8
871,29,31,36,5,8,22
872,24,2,23,19,27,35
873,30,40,16,7,22,27
874,25,22,36,5,7,24
875,18,8,9,5,31,16
876,26,21,27,34,18,38
877,26,24,38,31,9,25
878,3,36,6,38,1,15
879,24,39,34,5,38,1
880,24,17,3,36,9,21
881,26,20,7,22,40,21
882,33,18,1,5,29,26
883,16,12,31,36,1,22
884,31,1,33,14,40,39
885,23,16,5,4,31,9
886,18,3,14,28,15,32
887,5,9,2,23,12,40
888,2,35,26,19,23,33
889,8,36,7,24,15,14
890,7,15,29,6,12,34
891,25,21,20,22,16,40
892,28,16,7,18,1,4
893,9,20,8,19,16,18
894,11,22,35,10,7,16
895,18,28,10,26,32,38
896,30,18,1,31,11,9
897,10,22,1,39,3,28
898,4,24,7,3,19,21
899,37,11,5,15,2,13
900,15,31,4,22,8,3
901,11,16,23,36,33,30
902,15,17,38,16,22,33
903,4,16,9,35,34,18
904,18,19,1,9,14,29
905,34,2,29,9,3,6
906,6,23,37,31,2,4
907,12,33,10,23,13,6
908,15,22,14,4,33,10
909,30,16,32,5,36,14
910,13,11,10,23,32,2
911,20,37,28,36,27,31
912,20,30,9,33,36,13
913,31,40,27,35,28,25
914,18,1,9,24,4,37
915,16,38,22,23,30,24
916,1,27,11,36,33,15
917,32,37,19,4,36,21
918,1,26,2,4,40,3
919,14,40,12,15,37,18
920,15,19,35,2,28,27
921,9,11,38,1,21,3
922,31,1,37,30,16,27
923,4,34,25,14,36,20
924,19,9,17,20,15,10
925,4,37,16,18,26,25
926,9,13,6,28,37,34
927,20,5,12,39,27,31
928,10,23,19,26,11,33
929,31,30,8,25,4,29
930,19,4,35,22,34,15
931,14,3,13,34,7,39
932,24,10,21,23,30,14
933,29,39,20,26,30,9
934,4,16,10,30,37,32
935,37,16,22,8,13,10
936,38,11,16,15,31,21
937,32,7,11,15,18,29
938,39,11,15,33,24,18
939,19,23,36,34,32,11
940,22,16,35,13,3,5
941,15,40,34,21,24,3
942,13,25,26,11,1,31
943,9,35,16,20,5,33
944,14,5,22,15,26,34
945,8,24,30,7,1,31
946,16,4,23,21,36,28
947,8,26,7,25,36,23
948,36,17,39,2,18,30
949,26,35,27,4,17,23
950,14,4,8,40,20,2
951,14,2,4,39,12,15
952,26,19,7,29,27,14
953,34,3,37,19,16,1
954,33,7,26,27,24,18
955,26,22,5,12,24,16
956,27,2,9,15,3,4
957,7,24,22,32,38,26
958,25,11,37,34,4,38
959,39,25,4,20,30,14
960,11,8,2,9,20,14
961,37,7,9,25,40,22
962,1,21,35,9,2,28
963,9,27,28,5,35,17
964,7,6,9,21,1,10
965,35,22,26,12,34,36
966,5,39,19,22,13,23
967,19,6,16,31,34,4
968,25,20,15,40,33,16
969,33,5,16,4,24,18
970,23,34,20,39,28,11
971,9,6,22,38,25,36
972,23,28,36,1,14,33
973,10,29,9,28,16,14
974,4,30,7,5,25,22
975,5,7,39,32,23,30
976,4,24,31,34,22,37
977,15,29,8,36,7,11
978,39,9,3,17,38,30
979,24,20,30,2,36,18
980,27,38,26,23,25,18
981,15,19,31,2,17,12
982,28,40,35,9,26,10
983,10,32,6,19,24,15
